period,NG,OIL,SUN
2021-07-01 00:00:00,20540,-1,177
2021-07-01 01:00:00,19923,0,32
2021-07-01 02:00:00,18983,0,0
2021-07-01 03:00:00,17476,-1,0
2021-07-01 04:00:00,15457,0,0
2021-07-01 05:00:00,13658,0,0
2021-07-01 06:00:00,12960,-1,-1
2021-07-01 07:00:00,12345,-1,-1
2021-07-01 08:00:00,11955,0,-1
2021-07-01 09:00:00,11650,0,0
2021-07-01 10:00:00,11989,0,0
2021-07-01 11:00:00,12502,0,5
2021-07-01 12:00:00,13266,0,142
2021-07-01 13:00:00,14002,0,615
2021-07-01 14:00:00,14862,0,1055
2021-07-01 15:00:00,16239,-1,1459
2021-07-01 16:00:00,17411,-1,1826
2021-07-01 17:00:00,18705,-1,1974
2021-07-01 18:00:00,19171,-1,1982
2021-07-01 19:00:00,19649,-1,1869
2021-07-01 20:00:00,19964,-1,1795
2021-07-01 21:00:00,20514,-1,1413
2021-07-01 22:00:00,20348,-1,1310
2021-07-01 23:00:00,20005,0,928
2021-07-02 00:00:00,19446,0,402
2021-07-02 01:00:00,19338,0,29
2021-07-02 02:00:00,18433,0,-1
2021-07-02 03:00:00,16884,0,0
2021-07-02 04:00:00,15297,-2,0
2021-07-02 05:00:00,13762,-1,0
2021-07-02 06:00:00,13201,-1,-1
2021-07-02 07:00:00,13025,0,0
2021-07-02 08:00:00,12619,-1,-2
2021-07-02 09:00:00,12365,0,-1
2021-07-02 10:00:00,12629,-1,0
2021-07-02 11:00:00,13113,0,0
2021-07-02 12:00:00,13462,0,128
2021-07-02 13:00:00,14146,0,481
2021-07-02 14:00:00,14902,-3,795
2021-07-02 15:00:00,15328,0,1178
2021-07-02 16:00:00,15967,0,1504
2021-07-02 17:00:00,16601,-1,1652
2021-07-02 18:00:00,16909,0,1505
2021-07-02 19:00:00,16816,0,1288
2021-07-02 20:00:00,16667,0,1163
2021-07-02 21:00:00,16637,0,743
2021-07-02 22:00:00,16745,0,330
2021-07-02 23:00:00,16550,0,215
2021-07-03 00:00:00,16882,-1,89
2021-07-03 01:00:00,16437,-1,16
2021-07-03 02:00:00,15807,0,0
2021-07-03 03:00:00,14921,-1,0
2021-07-03 04:00:00,13419,0,-1
2021-07-03 05:00:00,12246,-1,0
2021-07-03 06:00:00,11054,0,0
2021-07-03 07:00:00,10978,-2,0
2021-07-03 08:00:00,10999,-3,0
2021-07-03 09:00:00,10814,0,0
2021-07-03 10:00:00,10555,0,-1
2021-07-03 11:00:00,10828,-1,0
2021-07-03 12:00:00,10674,0,167
2021-07-03 13:00:00,11180,-1,518
2021-07-03 14:00:00,12114,0,939
2021-07-03 15:00:00,13462,0,1406
2021-07-03 16:00:00,14417,0,1916
2021-07-03 17:00:00,15478,0,2136
2021-07-03 18:00:00,15862,-1,2272
2021-07-03 19:00:00,16308,-1,2207
2021-07-03 20:00:00,16550,0,2050
2021-07-03 21:00:00,16701,-1,1871
2021-07-03 22:00:00,16786,0,1492
2021-07-03 23:00:00,16693,-1,1014
2021-07-04 00:00:00,16508,-1,400
2021-07-04 01:00:00,15958,-1,46
2021-07-04 02:00:00,15354,0,0
2021-07-04 03:00:00,14127,-1,0
2021-07-04 04:00:00,12664,0,0
2021-07-04 05:00:00,11306,0,0
2021-07-04 06:00:00,9913,0,0
2021-07-04 07:00:00,9527,0,-1
2021-07-04 08:00:00,9338,0,-1
2021-07-04 09:00:00,8890,-2,-1
2021-07-04 10:00:00,8708,0,0
2021-07-04 11:00:00,8372,-3,4
2021-07-04 12:00:00,8791,-1,238
2021-07-04 13:00:00,9406,-1,827
2021-07-04 14:00:00,10292,0,1581
2021-07-04 15:00:00,11460,-1,2000
2021-07-04 16:00:00,13376,0,2153
2021-07-04 17:00:00,14803,0,2073
2021-07-04 18:00:00,15607,0,2136
2021-07-04 19:00:00,16624,-1,2069
2021-07-04 20:00:00,17184,-1,1959
2021-07-04 21:00:00,17747,-1,1803
2021-07-04 22:00:00,18082,-1,1599
2021-07-04 23:00:00,17977,0,1208
2021-07-05 00:00:00,17791,0,502
2021-07-05 01:00:00,17489,0,59
2021-07-05 02:00:00,16756,-1,0
2021-07-05 03:00:00,15210,0,-3
2021-07-05 04:00:00,13595,-2,0
2021-07-05 05:00:00,12099,0,0
